SKP_CREDIT_CASE,NUM_GROUP_POSITION,DOCUMENT_TYPE,ELECTRONIC_NATIONAL_ID,IS_PRIMARY
101,0,NATIONAL_ID,1,TRUE
101,1,BIRTH_CERTIFICATE,,FALSE
101,2,DRIVERS_LICENSE,,FALSE
101,3,VEHICLE_DOCUMENT,,FALSE
102,0,NATIONAL_ID,0,TRUE
102,1,DRIVERS_LICENSE,,FALSE
102,2,HEALTH_INSURANCE_CARD,,FALSE
103,0,PASSPORT,,TRUE
103,1,PUBLIC_TRANSPORT_CARD,,FALSE
103,2,HEALTH_INSURANCE_CARD,,FALSE
103,3,STUDENT_CARD,,FALSE
103,4,BIRTH_CERTIFICATE,,FALSE
104,0,PASSPORT,,TRUE
104,1,STUDENT_CARD,,FALSE
104,2,BIRTH_CERTIFICATE,,FALSE
105,0,NATIONAL_ID,1,TRUE
105,1,BIRTH_CERTIFICATE,,FALSE
106,0,NATIONAL_ID,0,TRUE
106,1,HEALTH_INSURANCE_CARD,,FALSE
106,2,DRIVERS_LICENSE,,FALSE
106,3,VEHICLE_DOCUMENT,,FALSE
106,4,BIRTH_CERTIFICATE,,FALSE
106,5,TAX_ID,,FALSE
107,0,NATIONAL_ID,1,TRUE
107,1,DRIVERS_LICENSE,,FALSE
107,2,BIRTH_CERTIFICATE,,FALSE
107,3,TAX_ID,,FALSE
108,0,PASSPORT,,TRUE
108,1,PUBLIC_TRANSPORT_CARD,,FALSE
108,2,TAX_ID,,FALSE
108,3,DRIVERS_LICENSE,,FALSE
108,4,VEHICLE_DOCUMENT,,FALSE
109,0,PASSPORT,,TRUE
109,1,BIRTH_CERTIFICATE,,FALSE
110,0,NATIONAL_ID,0,TRUE
110,1,BIRTH_CERTIFICATE,,FALSE
111,0,NATIONAL_ID,1,TRUE
111,1,PASSPORT,,FALSE
111,2,HEALTH_INSURANCE_CARD,,FALSE
112,0,PASSPORT,,FALSE
112,1,NATIONAL_ID,1,TRUE
112,2,DRIVERS_LICENSE,,FALSE
112,3,VEHICLE_DOCUMENT,,FALSE
113,0,HEALTH_INSURANCE_CARD,,FALSE
113,1,NATIONAL_ID,0,TRUE
113,2,BIRTH_CERTIFICATE,,FALSE
113,3,DRIVERS_LICENSE,,FALSE
113,4,VEHICLE_DOCUMENT,,FALSE
113,5,TAX_ID,,FALSE
114,0,NATIONAL_ID,1,TRUE
114,1,DRIVERS_LICENSE,,FALSE
114,2,VEHICLE_DOCUMENT,,FALSE
114,3,TAX_ID,,FALSE
115,0,NATIONAL_ID,0,TRUE
115,1,HEALTH_INSURANCE_CARD,,FALSE
115,2,PUBLIC_TRANSPORT_CARD,,FALSE
115,3,TAX_ID,,FALSE
116,0,NATIONAL_ID,0,TRUE
116,1,PUBLIC_TRANSPORT_CARD,,FALSE
116,2,HEALTH_INSURANCE_CARD,,FALSE
116,3,BIRTH_CERTIFICATE,,FALSE
116,4,TAX_ID,,FALSE
117,0,NATIONAL_ID,0,TRUE
117,1,STUDENT_CARD,,FALSE
118,0,NATIONAL_ID,1,TRUE
118,1,STUDENT_CARD,,FALSE
118,2,PASSPORT,,FALSE
119,0,NATIONAL_ID,0,TRUE
119,1,HEALTH_INSURANCE_CARD,,FALSE
119,2,BIRTH_CERTIFICATE,,FALSE
120,0,BIRTH_CERTIFICATE,,FALSE
120,1,NATIONAL_ID,0,TRUE
121,0,NATIONAL_ID,1,TRUE
121,1,BIRTH_CERTIFICATE,,FALSE
121,2,HEALTH_INSURANCE_CARD,,FALSE
122,0,NATIONAL_ID,0,TRUE
122,1,BIRTH_CERTIFICATE,,FALSE
122,2,HEALTH_INSURANCE_CARD,,FALSE
122,3,DRIVERS_LICENSE,,FALSE
123,0,NATIONAL_ID,1,TRUE
123,1,DRIVERS_LICENSE,,FALSE
124,0,PASSPORT,,TRUE
124,1,BIRTH_CERTIFICATE,,FALSE
124,2,DRIVERS_LICENSE,,FALSE
124,3,VEHICLE_DOCUMENT,,FALSE
124,4,STUDENT_CARD,,FALSE
124,5,HEALTH_INSURANCE_CARD,,FALSE
125,0,PASSPORT,,TRUE
125,1,BIRTH_CERTIFICATE,,FALSE
125,2,TAX_ID,,FALSE
125,3,HEALTH_INSURANCE_CARD,,FALSE
