SKP_CREDIT_CASE,NUM_GROUP_POSITION_COUNT,ELECTRONIC_NATIONAL_ID_SUM,BIRTH_CERTIFICATE,DRIVERS_LICENSE,HEALTH_INSURANCE_CARD,NATIONAL_ID,PASSPORT,PUBLIC_TRANSPORT_CARD,STUDENT_CARD,TAX_ID,VEHICLE_DOCUMENT
101,4,1,1,1,0,1,0,0,0,0,1
102,3,0,0,1,1,1,0,0,0,0,0
103,5,,1,0,1,0,1,1,1,0,0
104,3,,1,0,0,0,1,0,1,0,0
105,2,1,1,0,0,1,0,0,0,0,0
106,6,0,1,1,1,1,0,0,0,1,1
107,4,1,1,1,0,1,0,0,0,1,0
108,5,,0,1,0,0,1,1,0,1,1
109,2,,1,0,0,0,1,0,0,0,0
110,2,0,1,0,0,1,0,0,0,0,0
111,3,1,0,0,1,1,1,0,0,0,0
112,4,1,0,1,0,1,1,0,0,0,1
113,6,0,1,1,1,1,0,0,0,1,1
114,4,1,0,1,0,1,0,0,0,1,1
115,4,0,0,0,1,1,0,1,0,1,0
116,5,0,1,0,1,1,0,1,0,1,0
117,2,0,0,0,0,1,0,0,1,0,0
118,3,1,0,0,0,1,1,0,1,0,0
119,3,0,1,0,1,1,0,0,0,0,0
120,2,0,1,0,0,1,0,0,0,0,0
121,3,1,1,0,1,1,0,0,0,0,0
122,4,0,1,1,1,1,0,0,0,0,0
123,2,1,0,1,0,1,0,0,0,0,0
124,6,,1,1,1,0,1,0,1,0,1
125,4,,1,0,1,0,1,0,0,1,0
