ID,TIME,Numerical_1,Numerical_2,Numerical_3,Numerical_4,Numerical_5,Categorical_1,Categorical_2,Categorical_3,Categorical_4,Categorical_5,DEF,FPD,OLD_SCORE,WEIGHT
1,2017-01-01 1:00,1.475248318,0.87833256,NA,3.172916644,2.035332083,CCC,DDD,AAA,NA,DDD,0,0,0.631068293,2
2,2017-01-01 1:48,0.816270895,1.030066324,NA,1.544055774,3.616550639,CCC,CCC,BBB,CCC,NA,0,0,0.931151204,1
3,2017-01-01 2:50,1.188422102,0.759320582,2.932846497,1.301870591,NA,FFF,III,BBB,GGG,CCC,1,0,0.513814441,3
4,2017-01-01 2:54,1.543055772,1.943230796,NA,0.17638519,0.503894469,BBB,GGG,BBB,DDD,CCC,0,0,0.21235172,5
5,2017-01-01 2:56,0.364222969,0.295600353,0.699890319,NA,0.319073343,DDD,BBB,BBB,NA,NA,0,0,0.637057749,5
6,2017-01-01 2:56,1.846759944,0.714046587,1.147440732,0.308465426,0.256607021,GGG,GGG,CCC,DDD,BBB,0,0,0.566594554,2
7,2017-01-01 2:57,4.21300714,0.922335084,0.867874134,2.212823169,3.99924304,CCC,GGG,AAA,CCC,DDD,1,0,0.857515083,3
8,2017-01-01 3:13,1.290580162,1.420935514,NA,0.201905976,0.567100733,BBB,HHH,AAA,DDD,NA,0,0,0.361068769,1
9,2017-01-01 3:14,2.103211815,0.296357982,1.390420331,1.340345097,0.851155237,CCC,DDD,BBB,NA,BBB,0,0,0.624163285,4
10,2017-01-01 3:19,1.407028649,1.798268608,0.668692775,4.407885683,7.254793479,EEE,CCC,CCC,NA,NA,1,0,0.632968701,1
11,2017-01-01 3:45,0.996287348,1.34659547,NA,1.245553427,0.417068568,CCC,FFF,BBB,EEE,NA,1,0,0.239877858,4
12,2017-01-01 4:05,1.133156367,1.045219477,1.627943818,2.813061777,0.795538641,BBB,CCC,CCC,EEE,BBB,0,0,0.878522251,3
13,2017-01-01 4:33,1.034331713,3.05553772,NA,1.350395386,NA,FFF,FFF,BBB,DDD,BBB,1,0,0.005037561,4
14,2017-01-01 4:49,0.452523378,1.528677491,NA,1.022008883,1.52830647,FFF,CCC,AAA,NA,DDD,1,1,0.221245887,2
15,2017-01-01 4:58,0.79341999,2.254796728,NA,5.994456902,5.65019033,DDD,FFF,BBB,EEE,AAA,0,0,0.161948244,4
16,2017-01-01 4:59,0.657643194,2.592923708,NA,1.226902995,3.323395656,DDD,CCC,CCC,FFF,NA,1,0,0.010353009,2
17,2017-01-01 5:17,0.973285307,0.877109829,0.309880532,2.28241998,1.67334526,EEE,AAA,CCC,AAA,NA,0,0,0.877846376,5
18,2017-01-01 5:47,0.718171768,6.178240926,NA,NA,0.141511521,FFF,HHH,CCC,EEE,CCC,0,0,0.286001705,3
19,2017-01-01 7:13,2.998246462,1.276782626,0.735648001,6.535442273,NA,EEE,DDD,AAA,EEE,NA,0,0,0.656741966,4
20,2017-01-01 7:23,0.645729309,1.426648617,NA,1.886984016,0.930062851,CCC,EEE,BBB,NA,DDD,0,0,0.766133959,1
21,2017-01-01 7:32,0.806844292,2.164288033,NA,1.243037926,0.706925454,GGG,CCC,BBB,NA,CCC,0,0,0.566153766,2
22,2017-01-01 7:38,0.722239725,1.461583678,0.125833178,4.696205588,2.238475429,EEE,HHH,CCC,CCC,NA,1,1,0.535287225,2
23,2017-01-01 8:02,0.93472284,0.661616918,0.203589487,NA,1.603781869,FFF,CCC,AAA,EEE,BBB,1,1,0.198881855,4
24,2017-01-01 8:04,1.11877059,0.320934144,0.541010179,1.288780493,11.27488032,EEE,DDD,CCC,CCC,BBB,0,0,0.963579236,2
25,2017-01-01 8:26,0.889381682,0.777188047,NA,NA,0.839939871,DDD,EEE,BBB,DDD,CCC,1,0,0.472160008,1
26,2017-01-01 8:42,1.66328486,3.551690864,NA,1.397390472,2.984110762,EEE,FFF,BBB,DDD,BBB,1,0,0.146482855,2
27,2017-01-01 8:56,1.886612567,2.755905141,0.459088468,2.263238341,4.075613667,BBB,DDD,AAA,EEE,AAA,1,0,0.363041398,4
28,2017-01-01 8:57,1.20100812,0.913020016,NA,1.401075542,2.962509078,CCC,FFF,BBB,NA,DDD,0,0,0.839111992,3
29,2017-01-01 9:28,1.953700839,1.707526844,1.984183682,2.007287199,23.12059564,EEE,FFF,BBB,CCC,NA,0,0,0.700846537,5
30,2017-01-01 9:47,1.639933615,0.293555162,0.570070787,NA,6.646643953,DDD,EEE,AAA,EEE,CCC,0,0,0.621895613,4
31,2017-01-01 9:57,2.190540594,0.91070802,0.567638501,0.873874157,0.473283584,FFF,EEE,BBB,EEE,BBB,1,0,0.990020297,5
32,2017-01-01 10:05,1.87054652,0.801762817,NA,1.483090889,1.978020177,EEE,EEE,BBB,NA,CCC,0,0,0.905823446,2
33,2017-01-01 10:14,0.427419978,0.579796869,NA,0.500410825,NA,HHH,FFF,CCC,DDD,DDD,1,0,0.400061076,2
34,2017-01-01 10:16,0.423999308,0.714895699,0.335290847,0.356063963,2.745176639,GGG,DDD,CCC,NA,EEE,1,0,0.248590627,1
35,2017-01-01 10:27,0.660826556,0.481629054,0.490524649,NA,NA,GGG,FFF,CCC,CCC,EEE,0,0,0.556723002,5
36,2017-01-01 10:44,0.832690134,2.63548666,1.242840083,NA,1.211547905,AAA,AAA,AAA,DDD,CCC,0,0,0.121550213,5
37,2017-01-01 10:53,0.933557519,0.903828926,0.942386699,NA,1.015560963,CCC,GGG,AAA,NA,NA,0,0,0.626300521,2
38,2017-01-01 10:55,1.441785827,0.326545886,2.3356208,2.446742485,2.562289819,DDD,HHH,BBB,DDD,DDD,0,0,0.688722564,1
39,2017-01-01 10:55,1.10963203,0.550937015,NA,1.561198549,0.767609356,HHH,FFF,CCC,NA,NA,0,0,0.70744126,3
40,2017-01-01 11:03,0.679606533,0.411109712,0.727348895,1.660218675,7.552882537,GGG,GGG,BBB,FFF,CCC,0,0,0.102857133,1
41,2017-01-01 11:54,0.628842602,0.731823207,0.987698679,0.317083267,0.132790323,FFF,DDD,BBB,NA,EEE,0,0,0.774742003,5
42,2017-01-01 12:43,0.676066011,0.650691446,NA,0.426465721,0.187456408,HHH,BBB,CCC,NA,DDD,1,1,0.673060352,2
43,2017-01-01 12:43,0.490758173,0.54562527,NA,0.510234879,0.84559717,DDD,BBB,BBB,CCC,AAA,0,0,0.782724443,3
44,2017-01-01 13:47,0.60486373,2.81197382,NA,NA,0.2106477,DDD,BBB,BBB,DDD,BBB,0,0,0.329346173,5
45,2017-01-01 14:04,0.412687344,1.328502288,1.750416493,0.991558254,1.057771129,EEE,HHH,AAA,CCC,BBB,0,0,0.260489076,5
46,2017-01-01 14:07,1.509731237,2.049321722,1.181465075,NA,0.909567874,AAA,AAA,AAA,NA,BBB,0,0,0.955522904,3
