ID,DATETIME,INTERNAL,TELCO_A,TELCO_B,BUREAU_X,BUREAU_Y,BUREAU_Y_STATUS,UTILITY,DEVICE,APPROVED,FPD30
100001,2017-01-01 00:16:26,5.206849839399936,,60.0,-2.0,,NO-ASK,GOOD,,1.0,0.0
100002,2017-01-01 00:21:21,3.128132708784461,0.06559322452574845,,,,NO-ASK,DEBTOR,,1.0,0.0
100003,2017-01-01 00:28:48,3.407969446476543,,60.0,301.0,0.9128952337166757,HIT,DEBTOR,,1.0,1.0
100004,2017-01-01 00:37:40,3.003825753822393,0.11497909260864059,,298.0,0.8957883196830904,HIT,N/A,,0.0,
100005,2017-01-01 00:41:02,3.15111794794327,,62.0,,0.9404138769986139,HIT,ERROR,,1.0,0.0
100006,2017-01-01 00:51:31,2.1806819554069667,0.07271364293179827,,294.0,0.8960944874901637,HIT,N/A,,0.0,
100007,2017-01-01 01:04:21,1.6519230165963688,,62.0,-1.0,,NO-ASK,NEW,,1.0,0.0
100008,2017-01-01 01:09:59,3.105965349494934,,59.0,-2.0,,NO-ASK,GOOD,,1.0,0.0
100009,2017-01-01 01:14:48,0.4818317559626082,,62.0,308.0,,NO-ASK,N/A,,0.0,
100010,2017-01-01 01:29:17,3.2401220570561056,,63.0,,,NO-ASK,N/A,,1.0,1.0
100011,2017-01-01 01:43:43,3.0288134940893587,,61.0,,0.9646707720927705,HIT,NEW,,1.0,0.0
100012,2017-01-01 01:50:37,1.9109994667134174,,,299.0,0.8765567024095168,HIT,ERROR,,1.0,0.0
100013,2017-01-01 02:00:06,2.688695309449224,,67.0,,,NO-ASK,GOOD,,1.0,0.0
100014,2017-01-01 02:16:42,1.7411279437895342,,52.0,323.0,,NO-ASK,N/A,,0.0,
100015,2017-01-01 02:29:37,1.5667627836990816,0.09140777791898513,,292.0,,NO-HIT,DEBTOR,,0.0,
100016,2017-01-01 02:32:51,3.4550565092637364,,,294.0,,NO-ASK,NEW,,1.0,0.0
100017,2017-01-01 02:32:56,2.6907943223717163,,65.0,,,NO-ASK,NEW,,1.0,1.0
100018,2017-01-01 02:43:33,4.4787573241128245,,64.0,310.0,,NO-HIT,N/A,,1.0,0.0
100019,2017-01-01 02:43:51,5.105967279791277,,63.0,,,NO-ASK,DEBTOR,,1.0,0.0
100020,2017-01-01 02:53:54,3.183508885538915,,60.0,-1.0,,NO-ASK,N/A,,1.0,0.0
100021,2017-01-01 02:57:17,2.8026654485851825,,64.0,-2.0,,NO-ASK,GOOD,,1.0,0.0
100022,2017-01-01 03:01:29,4.193722925204039,,61.0,307.0,0.9385854736155342,HIT,GOOD,,1.0,0.0
100023,2017-01-01 03:04:08,0.7939140692649224,0.0705246330101188,,,,NO-ASK,ERROR,,1.0,0.0
100024,2017-01-01 03:15:54,1.3408805844515703,0.05986134127194309,,311.0,0.9520197144029917,HIT,DEBTOR,,0.0,
100025,2017-01-01 03:23:59,2.3651592793939873,,,,,NO-ASK,NEW,,0.0,
100026,2017-01-01 03:34:27,2.8905278427337415,,65.0,-2.0,0.9520061352189946,HIT,GOOD,,1.0,0.0
100027,2017-01-01 03:49:05,2.6669046360928137,,59.0,305.0,,NO-ASK,DEBTOR,,0.0,
100028,2017-01-01 04:00:37,2.6845018592822423,,,,,NO-ASK,NEW,,1.0,0.0
100029,2017-01-01 04:13:09,3.307705914257713,,,-2.0,,NO-ASK,GOOD,,1.0,0.0
100030,2017-01-01 04:18:05,2.572959675317039,,,,,NO-ASK,ERROR,,1.0,0.0
100031,2017-01-01 04:27:57,3.1387870134993276,,61.0,-2.0,,NO-HIT,DEBTOR,,1.0,0.0
100032,2017-01-01 04:35:18,2.8296462988045255,0.08599466668622191,,,0.896880239860976,HIT,GOOD,,1.0,0.0
100033,2017-01-01 04:43:40,2.0028959771106676,0.05711431218123075,,,,NO-ASK,NEW,,1.0,0.0
100034,2017-01-01 04:55:32,1.7459302989599375,,65.0,293.0,0.9016711624757744,HIT,DEBTOR,,0.0,
100035,2017-01-01 05:11:26,1.5565935967480684,,64.0,,0.8787633257281084,HIT,GOOD,,1.0,0.0
100036,2017-01-01 05:22:38,2.9847516471816316,,60.0,,,NO-ASK,N/A,,1.0,0.0
100037,2017-01-01 05:36:27,2.3832266835329254,,63.0,313.0,,NO-ASK,GOOD,,1.0,0.0
100038,2017-01-01 05:53:14,4.401754795260513,,64.0,,0.9522700604804826,HIT,GOOD,,1.0,0.0
100039,2017-01-01 06:08:51,2.738126958769019,,64.0,,,NO-ASK,DEBTOR,,0.0,
100040,2017-01-01 06:17:20,4.496652285369565,,61.0,,,NO-ASK,N/A,,1.0,0.0
100041,2017-01-01 06:25:35,1.5067365000266337,0.11900774912945578,,315.0,,NO-HIT,N/A,,0.0,
100042,2017-01-01 06:33:30,2.69679950499134,0.07328873559573024,,-2.0,,NO-ASK,N/A,,1.0,0.0
100043,2017-01-01 06:40:42,1.363355406390815,,62.0,,0.900899995834595,HIT,ERROR,,0.0,
100044,2017-01-01 06:44:43,2.500366479605643,0.10678056005534953,,,0.9159562656229693,HIT,N/A,,1.0,0.0
100045,2017-01-01 06:48:21,3.5259841520815716,,60.0,,,NO-ASK,N/A,,1.0,0.0
100046,2017-01-01 06:50:43,2.343402095711012,0.1573529598004123,,-1.0,,NO-ASK,GOOD,,1.0,0.0
100047,2017-01-01 06:58:08,2.4684208560918877,,61.0,320.0,0.9515596809114681,HIT,DEBTOR,,0.0,
100048,2017-01-01 07:04:38,3.1498258334908456,0.10444195356588815,,-2.0,,NO-ASK,NEW,,1.0,0.0
100049,2017-01-01 07:18:37,4.654846443259477,,,,0.9377164282812844,HIT,GOOD,,1.0,0.0
100050,2017-01-01 07:21:44,1.8897411441772582,0.03276019888070347,,,0.9574087394546105,HIT,N/A,,1.0,0.0
