SKP_CREDIT_CASE,NUM_GROUP_POSITION,DOCUMENT_TYPE,ELECTRONIC_NATIONAL_ID,IS_PRIMARY
101,0,NATIONAL_ID,1.0,True
101,1,BIRTH_CERTIFICATE,,False
101,2,DRIVERS_LICENSE,,False
101,3,VEHICLE_DOCUMENT,,False
102,0,NATIONAL_ID,0.0,True
102,1,DRIVERS_LICENSE,,False
102,2,HEALTH_INSURANCE_CARD,,False
103,0,PASSPORT,,True
103,1,PUBLIC_TRANSPORT_CARD,,False
103,2,HEALTH_INSURANCE_CARD,,False
103,3,STUDENT_CARD,,False
103,4,BIRTH_CERTIFICATE,,False
104,0,PASSPORT,,True
104,1,STUDENT_CARD,,False
104,2,BIRTH_CERTIFICATE,,False
105,0,NATIONAL_ID,1.0,True
105,1,BIRTH_CERTIFICATE,,False
106,0,NATIONAL_ID,0.0,True
106,1,HEALTH_INSURANCE_CARD,,False
106,2,DRIVERS_LICENSE,,False
106,3,VEHICLE_DOCUMENT,,False
106,4,BIRTH_CERTIFICATE,,False
106,5,TAX_ID,,False
107,0,NATIONAL_ID,1.0,True
107,1,DRIVERS_LICENSE,,False
107,2,BIRTH_CERTIFICATE,,False
107,3,TAX_ID,,False
108,0,PASSPORT,,True
108,1,PUBLIC_TRANSPORT_CARD,,False
108,2,TAX_ID,,False
108,3,DRIVERS_LICENSE,,False
108,4,VEHICLE_DOCUMENT,,False
109,0,PASSPORT,,True
109,1,BIRTH_CERTIFICATE,,False
110,0,NATIONAL_ID,0.0,True
110,1,BIRTH_CERTIFICATE,,False
111,0,NATIONAL_ID,1.0,True
111,1,PASSPORT,,False
111,2,HEALTH_INSURANCE_CARD,,False
112,0,PASSPORT,,False
112,1,NATIONAL_ID,1.0,True
112,2,DRIVERS_LICENSE,,False
112,3,VEHICLE_DOCUMENT,,False
113,0,HEALTH_INSURANCE_CARD,,False
113,1,NATIONAL_ID,0.0,True
113,2,BIRTH_CERTIFICATE,,False
113,3,DRIVERS_LICENSE,,False
113,4,VEHICLE_DOCUMENT,,False
113,5,TAX_ID,,False
114,0,NATIONAL_ID,1.0,True
114,1,DRIVERS_LICENSE,,False
114,2,VEHICLE_DOCUMENT,,False
114,3,TAX_ID,,False
115,0,NATIONAL_ID,0.0,True
115,1,HEALTH_INSURANCE_CARD,,False
115,2,PUBLIC_TRANSPORT_CARD,,False
115,3,TAX_ID,,False
116,0,NATIONAL_ID,0.0,True
116,1,PUBLIC_TRANSPORT_CARD,,False
116,2,HEALTH_INSURANCE_CARD,,False
116,3,BIRTH_CERTIFICATE,,False
116,4,TAX_ID,,False
117,0,NATIONAL_ID,0.0,True
117,1,STUDENT_CARD,,False
118,0,NATIONAL_ID,1.0,True
118,1,STUDENT_CARD,,False
118,2,PASSPORT,,False
119,0,NATIONAL_ID,0.0,True
119,1,HEALTH_INSURANCE_CARD,,False
119,2,BIRTH_CERTIFICATE,,False
120,0,BIRTH_CERTIFICATE,,False
120,1,NATIONAL_ID,0.0,True
121,0,NATIONAL_ID,1.0,True
121,1,BIRTH_CERTIFICATE,,False
121,2,HEALTH_INSURANCE_CARD,,False
122,0,NATIONAL_ID,0.0,True
122,1,BIRTH_CERTIFICATE,,False
122,2,HEALTH_INSURANCE_CARD,,False
122,3,DRIVERS_LICENSE,,False
123,0,NATIONAL_ID,1.0,True
123,1,DRIVERS_LICENSE,,False
124,0,PASSPORT,,True
124,1,BIRTH_CERTIFICATE,,False
124,2,DRIVERS_LICENSE,,False
124,3,VEHICLE_DOCUMENT,,False
124,4,STUDENT_CARD,,False
124,5,HEALTH_INSURANCE_CARD,,False
125,0,PASSPORT,,True
125,1,BIRTH_CERTIFICATE,,False
125,2,TAX_ID,,False
125,3,HEALTH_INSURANCE_CARD,,False
